POSTCODE,Remoteness_Code,Remoteness_Name,RATIO,PERCENTAGE
2649,12,Outer Regional Australia,1,100
2651,11,Inner Regional Australia,1,100
2653,12,Outer Regional Australia,1,100
2660,11,Inner Regional Australia,1,100
2661,11,Inner Regional Australia,1,100
2665,12,Outer Regional Australia,1,100
2668,12,Outer Regional Australia,1,100
2671,12,Outer Regional Australia,1,100
2672,13,Remote Australia,1,100
2675,13,Remote Australia,1,100
2678,11,Inner Regional Australia,1,100
2680,12,Outer Regional Australia,1,100
2681,12,Outer Regional Australia,1,100
2700,12,Outer Regional Australia,1,100
2702,12,Outer Regional Australia,1,100
2703,12,Outer Regional Australia,1,100
2705,12,Outer Regional Australia,1,100
2706,12,Outer Regional Australia,1,100
2707,12,Outer Regional Australia,1,100
2716,12,Outer Regional Australia,1,100
2717,12,Outer Regional Australia,1,100
2721,12,Outer Regional Australia,1,100
2725,12,Outer Regional Australia,1,100
2727,12,Outer Regional Australia,1,100
2733,12,Outer Regional Australia,1,100
2736,12,Outer Regional Australia,1,100
2739,12,Outer Regional Australia,1,100
2747,10,Major Cities of Australia,1,100
2748,10,Major Cities of Australia,1,100
2749,10,Major Cities of Australia,1,100
2750,10,Major Cities of Australia,1,100
2752,11,Inner Regional Australia,1,100
2755,10,Major Cities of Australia,1,100
2757,11,Inner Regional Australia,1,100
2758,11,Inner Regional Australia,1,100
2759,10,Major Cities of Australia,1,100
2760,10,Major Cities of Australia,1,100
2761,10,Major Cities of Australia,1,100
2762,10,Major Cities of Australia,1,100
2763,10,Major Cities of Australia,1,100
2766,10,Major Cities of Australia,1,100
2767,10,Major Cities of Australia,1,100
2768,10,Major Cities of Australia,1,100
2769,10,Major Cities of Australia,1,100
2770,10,Major Cities of Australia,1,100
2773,10,Major Cities of Australia,1,100
2774,10,Major Cities of Australia,1,100
2776,10,Major Cities of Australia,1,100
2777,10,Major Cities of Australia,1,100
2778,10,Major Cities of Australia,1,100
2779,10,Major Cities of Australia,1,100
2782,10,Major Cities of Australia,1,100
2783,10,Major Cities of Australia,1,100
2784,10,Major Cities of Australia,1,100
2785,11,Inner Regional Australia,1,100
2791,11,Inner Regional Australia,1,100
2797,12,Outer Regional Australia,1,100
2798,11,Inner Regional Australia,1,100
2803,12,Outer Regional Australia,1,100
2805,12,Outer Regional Australia,1,100
2806,12,Outer Regional Australia,1,100
2807,12,Outer Regional Australia,1,100
2808,12,Outer Regional Australia,1,100
2809,12,Outer Regional Australia,1,100
2810,12,Outer Regional Australia,1,100
2818,12,Outer Regional Australia,1,100
2820,12,Outer Regional Australia,1,100
2821,12,Outer Regional Australia,1,100
2823,12,Outer Regional Australia,1,100
2825,13,Remote Australia,1,100
2826,13,Remote Australia,1,100
2827,12,Outer Regional Australia,1,100
2829,13,Remote Australia,1,100
2833,13,Remote Australia,1,100
2836,14,Very Remote Australia,1,100
2838,14,Very Remote Australia,1,100
2839,14,Very Remote Australia,1,100
2840,14,Very Remote Australia,1,100
2842,12,Outer Regional Australia,1,100
2843,12,Outer Regional Australia,1,100
2844,12,Outer Regional Australia,1,100
2845,11,Inner Regional Australia,1,100
2847,11,Inner Regional Australia,1,100
2849,12,Outer Regional Australia,1,100
2852,12,Outer Regional Australia,1,100
2865,12,Outer Regional Australia,1,100
